name,albumID,trackNumber,releaseDate,spotifyURL
Catch the Wind,256,2,1965-05-14,spotify:track:6aXKbU2QGsOms8UT3eUOg1
Don't Wanna Let You Go - Radio Edit,257,11,2003-06-02,spotify:track:30Na9W2WrBLGrRoKlEiwbh
Hello,258,8,1983-01-01,spotify:track:6HMvJcdw6qLsyV1b5x29sa
Cloudy Day,259,1,2021-06-10,spotify:track:3QUzJqgkcjvsLhgqVos6ha
If We Ever Meet Again (Featuring Katy Perry),260,9,2009-01-01,spotify:track:5spfJMqDpBvM0YNgAQGqxD
Free (feat. Emeli Sandé & Nas),261,1,2013-11-15,spotify:track:0vYyK3kdY62SBplhh2iNJO
Don't Start Now - Dom Dolla Remix,262,1,2020-01-10,spotify:track:4YzJxZBPeudi2QsJiVLVCa
Piano Man,263,2,1973-11-07,spotify:track:70C4NyhjD5OZUMzvWZ3njJ
Stop,264,3,1988-01-01,spotify:track:2IWYi4NJyJvhpJVjVs2pm8
Route 66,265,1,1964-04-16,spotify:track:1FRP8d6l2jm3DS5f78ZrhK
Neutron Star Collision (Love Is Forever) - Soundtrack Version,266,1,2010-05-17,spotify:track:4AIazttPmHpd7p7pwJw692
Automatic (Album Version),267,7,2006-05-30,spotify:track:7AJSeWSVBBLAQ6xfGyCssC
Walking On A Dream,268,2,2009-01-01,spotify:track:6A6qBFJHid4WutQu6HHEZt
Spin the Black Circle - Remastered,269,2,1994-11-22,spotify:track:7Al0ADUt8SCPiQIBbTcNdR
Meet Me Halfway,270,3,2009-01-01,spotify:track:2T4u39au5RJzsulMUpRuVr
Let's Groove,271,1,1981-11-14,spotify:track:3koCCeSaVUyrRo3N2gHrd8
The Time (Dirty Bit),272,1,2010-01-01,spotify:track:5bitEcj72xFL3yv9ZS5fkE
Happy Nation,273,9,1993-12-24,spotify:track:7fb22pjF62S9r1s1pian5K
Shake Me Down,274,4,2011-01-10,spotify:track:1Hb1IJ9bBCa6wo3fRtexnJ
For What It's Worth,275,5,2017-10-06,spotify:track:5Ih40KFkj3cSzxgisQxBvX
Total Eclipse of the Heart,276,6,1989,spotify:track:3W8KQQD2FZPLVqflvYYyjT
Say You Love Me,277,1,2014-01-01,spotify:track:2hcPE11xSLCNHt5PYidj5U
Don't Hang Up,278,3,2005-10-18,spotify:track:57rCNFS9Cfdg09dNHSAuwM
Shadows,279,6,2008,spotify:track:1KizDBQAlmAMfy4enfwhUf
Hey Sexy Lady,280,4,2002-10-29,spotify:track:4u8IPU322yG7mNrqv89GGL
I'll Remember (Theme from the Motion Picture With Honors),281,2,1995-11-17,spotify:track:00U0pedRUMEzREpyRqbVT6
Rhinestone Cowboy,282,1,1987-01-01,spotify:track:7kUyEpjTz8Q1loiC1xlF07
